backend,run,linker_set,macro_f1,macro_f2
luna,run1,full_name_only,0.791687,0.730492
luna,run1,partial_name_only,0.099278,0.084975
luna,run1,coref_only,0.320449,0.237688
luna,run1,full,0.866865,0.858615
luna,run2,full_name_only,0.795471,0.731891
luna,run2,partial_name_only,0.087303,0.072149
luna,run2,coref_only,0.348027,0.260047
luna,run2,full,0.854359,0.841552
luna,run3,full_name_only,0.788927,0.722685
luna,run3,partial_name_only,0.082754,0.066092
luna,run3,coref_only,0.295174,0.220886
luna,run3,full,0.861998,0.846632
luna,average,full_name_only,0.792028,0.728356
luna,average,partial_name_only,0.089778,0.074405
luna,average,coref_only,0.321217,0.239540
luna,average,full,0.861074,0.848933
