backend,run,variant,macro_f1,macro_f2
luna,run1,Full,0.866865,0.858615
luna,run1,NoNameValid,0.791751,0.827457
luna,run1,NoCitation,0.727583,0.801504
luna,run1,NoValidator,0.687179,0.780424
luna,run2,Full,0.854359,0.841552
luna,run2,NoNameValid,0.779072,0.814094
luna,run2,NoCitation,0.737664,0.805774
luna,run2,NoValidator,0.692735,0.784037
luna,run3,Full,0.861998,0.846632
luna,run3,NoNameValid,0.795011,0.834633
luna,run3,NoCitation,0.745163,0.822710
luna,run3,NoValidator,0.704295,0.803799
luna,average,Full,0.861074,0.848933
luna,average,NoNameValid,0.788611,0.825395
luna,average,NoCitation,0.736804,0.809996
luna,average,NoValidator,0.694736,0.789420
