variant,project,tp,fp,fn,f1,f2
Full,teastore,20,2,7,0.816327,0.769231
NoNameValid,teastore,20,2,7,0.816327,0.769231
NoCitation,teastore,21,19,6,0.626866,0.709459
NoValidator,teastore,21,19,6,0.626866,0.709459
