variant,project,tp,fp,fn,f1,f2
Full,teastore,26,0,1,0.981132,0.970149
NoNameValid,teastore,26,0,1,0.981132,0.970149
NoCitation,teastore,27,5,0,0.915254,0.964286
NoValidator,teastore,27,5,0,0.915254,0.964286
