variant,project,tp,fp,fn,f1,f2
Full,teammates,56,46,1,0.704403,0.848485
NoFullNameValid,teammates,56,54,1,0.670659,0.828402
NoPartialNameValid,teammates,57,74,0,0.606383,0.793872
NoCitation,teammates,56,99,1,0.528302,0.731070
NoValidator,teammates,57,130,0,0.467213,0.686747
