variant,tp,fp,fn,precision,recall,f1
Full,44,2,18,0.956522,0.709677,0.814815
NoEntityValid,48,3,14,0.941176,0.774194,0.849558
NoCitation,44,8,18,0.846154,0.709677,0.771930
NoValidator,48,9,14,0.842105,0.774194,0.806723
