variant,tp,fp,fn,precision,recall,f1
Full,50,9,7,0.847458,0.877193,0.862069
NoEntityValid,53,28,4,0.654321,0.929825,0.768116
NoCitation,50,22,7,0.694444,0.877193,0.775194
NoValidator,53,40,4,0.569892,0.929825,0.706667
