backend,run,variant,macro_precision,macro_recall,macro_f1,macro_f2,component_miss_rate
luna,run1,Full,0.929071,0.773464,0.828665,0.791736,10.800478
luna,run1,NoNameValid,0.795918,0.832767,0.769106,0.793122,10.800478
luna,run1,NoCitation,0.703535,0.871791,0.757612,0.813549,0.645161
luna,run1,NoValidator,0.651562,0.911740,0.727635,0.812171,0.645161
luna,run2,Full,0.918452,0.808873,0.841877,0.817426,10.800478
luna,run2,NoNameValid,0.797544,0.860768,0.787476,0.817409,10.800478
luna,run2,NoCitation,0.652389,0.879482,0.729479,0.803038,0.645161
luna,run2,NoValidator,0.604216,0.912023,0.700572,0.799631,0.645161
luna,run3,Full,0.940816,0.802421,0.852542,0.819089,10.800478
luna,run3,NoNameValid,0.797544,0.861724,0.787202,0.817843,10.800478
luna,run3,NoCitation,0.674274,0.901390,0.755905,0.830199,0.645161
luna,run3,NoValidator,0.626164,0.937829,0.725083,0.826001,0.645161
luna,average,Full,0.929446,0.794919,0.841028,0.809417,10.800478
luna,average,NoNameValid,0.797002,0.851753,0.781261,0.809458,10.800478
luna,average,NoCitation,0.676733,0.884221,0.747665,0.815596,0.645161
luna,average,NoValidator,0.627314,0.920531,0.717764,0.812601,0.645161
