backend,run,linker,tps_caught,unique_tps,fps,delta_f1_if_removed
luna,run1,FullName,128,110,7,+0.580153
luna,run1,PartialName,16,12,14,+0.006932
luna,run1,Coref,29,7,1,+0.027736
luna,run1,overlap:only_full_name,110,,,
luna,run1,overlap:only_partial_name,12,,,
luna,run1,overlap:only_coref,7,,,
luna,run1,overlap:shared,22,,,
luna,run2,FullName,128,113,6,+0.560292
luna,run2,PartialName,16,15,25,+0.000607
luna,run2,Coref,29,13,1,+0.048520
luna,run2,overlap:only_full_name,113,,,
luna,run2,overlap:only_partial_name,15,,,
luna,run2,overlap:only_coref,13,,,
luna,run2,overlap:shared,16,,,
luna,run3,FullName,127,108,8,+0.530021
luna,run3,PartialName,15,13,11,+0.012545
luna,run3,Coref,35,14,0,+0.052881
luna,run3,overlap:only_full_name,108,,,
luna,run3,overlap:only_partial_name,13,,,
luna,run3,overlap:only_coref,14,,,
luna,run3,overlap:shared,21,,,
luna,average,FullName,127.67,110.33,7,+0.556822
luna,average,PartialName,15.67,13.33,16.67,+0.006695
luna,average,Coref,31,11.33,0.67,+0.043045
luna,average,overlap:only_full_name,110.33,,,
luna,average,overlap:only_partial_name,13.33,,,
luna,average,overlap:only_coref,11.33,,,
luna,average,overlap:shared,19.67,,,
