backend,run,validator,rejected_tp,unique_rejected_tp,rejected_fp,kept_tp,kept_fp
luna,run1,name,17,17,88,144,21
luna,run1,coref,44,18,116,29,1
luna,run1,all_combined,55,29,189,151,22
luna,run2,name,17,16,78,144,31
luna,run2,coref,52,14,130,29,1
luna,run2,all_combined,63,24,192,157,32
luna,run3,name,19,17,90,142,19
luna,run3,coref,57,19,116,35,0
luna,run3,all_combined,69,29,191,156,19
luna,average,name,17.67,16.67,85.33,143.33,23.67
luna,average,coref,51,17,120.67,31,0.67
luna,average,all_combined,62.33,27.33,190.67,154.67,24.33
