backend,run,linker_set,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_link_f2,doc_to_model_component_miss_rate
luna,run1,name_only,mediastore,1.000000,0.548387,0.708333,0.602837,35.483871
luna,run1,name_only,teastore,1.000000,0.518519,0.682927,0.573770,18.518519
luna,run1,name_only,teammates,0.787879,0.912281,0.845528,0.884354,0.000000
luna,run1,name_only,bigbluebutton,0.860000,0.693548,0.767857,0.721477,0.000000
luna,run1,name_only,jabref,1.000000,1.000000,1.000000,1.000000,0.000000
luna,run1,coref_only,mediastore,1.000000,0.064516,0.121212,0.079365,77.419355
luna,run1,coref_only,teastore,1.000000,0.185185,0.312500,0.221239,37.037037
luna,run1,coref_only,teammates,0.928571,0.228070,0.366197,0.268595,17.543860
luna,run1,coref_only,bigbluebutton,1.000000,0.145161,0.253521,0.175097,38.709677
luna,run1,coref_only,jabref,0.000000,0.000000,0.000000,0.000000,100.000000
luna,run1,full,mediastore,1.000000,0.580645,0.734694,0.633803,35.483871
luna,run1,full,teastore,1.000000,0.629630,0.772727,0.680000,18.518519
luna,run1,full,teammates,0.782609,0.947368,0.857143,0.909091,0.000000
luna,run1,full,bigbluebutton,0.862745,0.709677,0.778761,0.735786,0.000000
luna,run1,full,jabref,1.000000,1.000000,1.000000,1.000000,0.000000
luna,run2,name_only,mediastore,1.000000,0.548387,0.708333,0.602837,35.483871
luna,run2,name_only,teastore,1.000000,0.555556,0.714286,0.609756,18.518519
luna,run2,name_only,teammates,0.650000,0.912281,0.759124,0.844156,0.000000
luna,run2,name_only,bigbluebutton,0.933333,0.677419,0.785047,0.716724,0.000000
luna,run2,name_only,jabref,1.000000,1.000000,1.000000,1.000000,0.000000
luna,run2,coref_only,mediastore,1.000000,0.096774,0.176471,0.118110,61.290323
luna,run2,coref_only,teastore,1.000000,0.333333,0.500000,0.384615,18.518519
luna,run2,coref_only,teammates,0.888889,0.140351,0.242424,0.168776,24.561404
luna,run2,coref_only,bigbluebutton,1.000000,0.145161,0.253521,0.175097,29.032258
luna,run2,coref_only,jabref,0.000000,0.000000,0.000000,0.000000,100.000000
luna,run2,full,mediastore,1.000000,0.612903,0.760000,0.664336,35.483871
luna,run2,full,teastore,1.000000,0.740741,0.851064,0.781250,18.518519
luna,run2,full,teammates,0.654762,0.964912,0.780142,0.881410,0.000000
luna,run2,full,bigbluebutton,0.937500,0.725806,0.818182,0.760135,0.000000
luna,run2,full,jabref,1.000000,1.000000,1.000000,1.000000,0.000000
luna,run3,name_only,mediastore,1.000000,0.548387,0.708333,0.602837,35.483871
luna,run3,name_only,teastore,1.000000,0.518519,0.682927,0.573770,18.518519
luna,run3,name_only,teammates,0.772727,0.894737,0.829268,0.867347,0.000000
luna,run3,name_only,bigbluebutton,0.913043,0.677419,0.777778,0.714286,0.000000
luna,run3,name_only,jabref,1.000000,1.000000,1.000000,1.000000,0.000000
luna,run3,coref_only,mediastore,1.000000,0.064516,0.121212,0.079365,77.419355
luna,run3,coref_only,teastore,1.000000,0.370370,0.540541,0.423729,18.518519
luna,run3,coref_only,teammates,1.000000,0.192982,0.323529,0.230126,33.333333
luna,run3,coref_only,bigbluebutton,1.000000,0.177419,0.301370,0.212355,29.032258
luna,run3,coref_only,jabref,1.000000,0.055556,0.105263,0.068493,77.777778
luna,run3,full,mediastore,1.000000,0.580645,0.734694,0.633803,35.483871
luna,run3,full,teastore,1.000000,0.740741,0.851064,0.781250,18.518519
luna,run3,full,teammates,0.785714,0.964912,0.866142,0.922819,0.000000
luna,run3,full,bigbluebutton,0.918367,0.725806,0.810811,0.757576,0.000000
luna,run3,full,jabref,1.000000,1.000000,1.000000,1.000000,0.000000
luna,average,name_only,mediastore,1.000000,0.548387,0.708333,0.602837,35.483871
luna,average,name_only,teastore,1.000000,0.530864,0.693380,0.585766,18.518519
luna,average,name_only,teammates,0.736869,0.906433,0.811307,0.865286,0.000000
luna,average,name_only,bigbluebutton,0.902126,0.682796,0.776894,0.717495,0.000000
luna,average,name_only,jabref,1.000000,1.000000,1.000000,1.000000,0.000000
luna,average,coref_only,mediastore,1.000000,0.075269,0.139632,0.092280,72.043011
luna,average,coref_only,teastore,1.000000,0.296296,0.451014,0.343194,24.691358
luna,average,coref_only,teammates,0.939153,0.187135,0.310717,0.222499,25.146199
luna,average,coref_only,bigbluebutton,1.000000,0.155914,0.269471,0.187517,32.258065
luna,average,coref_only,jabref,0.333333,0.018519,0.035088,0.022831,92.592593
luna,average,full,mediastore,1.000000,0.591398,0.743129,0.643980,35.483871
luna,average,full,teastore,1.000000,0.703704,0.824952,0.747500,18.518519
luna,average,full,teammates,0.741028,0.959064,0.834475,0.904440,0.000000
luna,average,full,bigbluebutton,0.906204,0.720430,0.802585,0.751166,0.000000
luna,average,full,jabref,1.000000,1.000000,1.000000,1.000000,0.000000
