run,project,tp,fp,fn,f1,f2,canonical
run1,mediastore,19,0,12,0.760000,0.664336,
run1,teastore,22,2,5,0.862745,0.833333,
run1,teammates,57,30,0,0.791667,0.904762,
run1,bigbluebutton,57,20,5,0.820144,0.876923,
run1,jabref,18,2,0,0.947368,0.978261,
run1,MACRO,,,,0.836385,0.851523,
run2,mediastore,20,0,11,0.784314,0.694444,yes
run2,teastore,23,4,4,0.851852,0.851852,yes
run2,teammates,57,29,0,0.797203,0.907643,yes
run2,bigbluebutton,60,23,2,0.827586,0.906344,yes
run2,jabref,18,2,0,0.947368,0.978261,yes
run2,MACRO,,,,0.841665,0.867709,yes
run3,mediastore,23,0,8,0.851852,0.782313,
run3,teastore,22,1,5,0.880000,0.839695,
run3,teammates,55,28,2,0.785714,0.884244,
run3,bigbluebutton,59,24,3,0.813793,0.891239,
run3,jabref,18,2,0,0.947368,0.978261,
run3,MACRO,,,,0.855746,0.875150,
