variant,project,tp,fp,fn,f1,f2
Full,mediastore,31,0,0,1.000000,1.000000
NoNameValid,mediastore,31,3,0,0.953846,0.981013
NoCitation,mediastore,31,2,0,0.968750,0.987261
NoValidator,mediastore,31,5,0,0.925373,0.968750
