backend,run,variant,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_file_f2_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_worst_component_f2_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_harmonic_component_f2_vs_full
luna,run1,Full,0.927284,0.745601,0.799328,0.762186,0.852799,0.815274,0.485292,0.475354,0.541057,0.553146,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run1,NoFullNameValid,0.872608,0.765856,0.778269,0.764808,0.854148,0.830637,0.434778,0.484829,0.524643,0.558714,-0.021058,+0.002622,-0.050514,+0.009475,-0.016414,+0.005568
luna,run1,NoPartialNameValid,0.868705,0.745601,0.761740,0.744156,0.815685,0.800562,0.308772,0.391111,0.456312,0.510402,-0.037587,-0.018030,-0.176520,-0.084243,-0.084744,-0.042744
luna,run1,NoCitation,0.677591,0.761537,0.696526,0.728732,0.760013,0.795485,0.378444,0.430450,0.473153,0.524541,-0.102802,-0.033453,-0.106848,-0.044904,-0.067903,-0.028605
luna,run1,NoValidator,0.630109,0.778877,0.666041,0.720272,0.735824,0.793328,0.268772,0.372929,0.412221,0.495466,-0.133286,-0.041913,-0.216520,-0.102425,-0.128835,-0.057679
luna,run2,Full,0.905111,0.767534,0.803466,0.777127,0.853115,0.820929,0.514652,0.504791,0.677169,0.675671,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run2,NoFullNameValid,0.881155,0.787072,0.798632,0.786150,0.863889,0.839074,0.504138,0.532448,0.674393,0.686208,-0.004834,+0.009022,-0.010514,+0.027657,-0.002776,+0.010537
luna,run2,NoPartialNameValid,0.849589,0.767534,0.766759,0.759098,0.814322,0.805291,0.335439,0.420548,0.589424,0.631238,-0.036707,-0.018029,-0.179214,-0.084243,-0.087745,-0.044433
luna,run2,NoCitation,0.634512,0.816888,0.699391,0.760561,0.760807,0.814107,0.415476,0.496559,0.574786,0.640638,-0.104075,-0.016566,-0.099176,-0.008232,-0.102383,-0.035033
luna,run2,NoValidator,0.600489,0.824175,0.673482,0.748715,0.732268,0.804338,0.300007,0.405543,0.509809,0.603037,-0.129984,-0.028413,-0.214645,-0.099248,-0.167361,-0.072634
luna,run3,Full,0.898854,0.750951,0.787480,0.760321,0.845641,0.810307,0.458148,0.457172,0.537447,0.549776,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run3,NoFullNameValid,0.869738,0.774342,0.780460,0.770266,0.866151,0.840213,0.437471,0.484829,0.527226,0.559612,-0.007020,+0.009946,-0.020677,+0.027657,-0.010221,+0.009836
luna,run3,NoPartialNameValid,0.845084,0.750951,0.751775,0.742731,0.803591,0.793358,0.268772,0.372929,0.445529,0.504799,-0.035706,-0.017590,-0.189376,-0.084243,-0.091918,-0.044978
luna,run3,NoCitation,0.697290,0.756814,0.702822,0.729678,0.750230,0.782003,0.412306,0.437760,0.491440,0.532101,-0.084659,-0.030642,-0.045842,-0.019412,-0.046007,-0.017675
luna,run3,NoValidator,0.647544,0.775487,0.670271,0.720750,0.727217,0.784099,0.268772,0.372929,0.413833,0.495966,-0.117210,-0.039571,-0.189376,-0.084243,-0.123613,-0.053810
luna,average,Full,0.910416,0.754695,0.796758,0.766545,0.850518,0.815503,0.486031,0.479106,0.585224,0.592864,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,average,NoCitation,0.669798,0.778413,0.699580,0.739657,0.757017,0.797198,0.402075,0.454923,0.513126,0.565760,-0.097179,-0.026887,-0.083955,-0.024183,-0.072098,-0.027104
luna,average,NoFullNameValid,0.874500,0.775757,0.785787,0.773741,0.861396,0.836641,0.458796,0.500702,0.575421,0.601511,-0.010971,+0.007197,-0.027235,+0.021596,-0.009804,+0.008647
luna,average,NoPartialNameValid,0.854459,0.754695,0.760091,0.748662,0.811199,0.799737,0.304328,0.394863,0.497088,0.548813,-0.036667,-0.017883,-0.181703,-0.084243,-0.088136,-0.044052
luna,average,NoValidator,0.626047,0.792846,0.669931,0.729912,0.731770,0.793922,0.279184,0.383800,0.445288,0.531490,-0.126827,-0.036632,-0.206847,-0.095305,-0.139936,-0.061374
