backend,run,variant,macro_f1,macro_f2
luna,run1,Full,0.853775,0.848184
luna,run1,NoFullNameValid,0.824824,0.835692
luna,run1,NoPartialNameValid,0.808291,0.829647
luna,run1,NoCitation,0.737174,0.806832
luna,run1,NoValidator,0.697490,0.784352
luna,run2,Full,0.859656,0.864086
luna,run2,NoFullNameValid,0.841199,0.853793
luna,run2,NoPartialNameValid,0.807743,0.836949
luna,run2,NoCitation,0.747755,0.837074
luna,run2,NoValidator,0.708438,0.812032
luna,run3,Full,0.863714,0.858835
luna,run3,NoFullNameValid,0.836682,0.844437
luna,run3,NoPartialNameValid,0.811665,0.839393
luna,run3,NoCitation,0.742829,0.806935
luna,run3,NoValidator,0.692925,0.778709
luna,average,Full,0.859048,0.857035
luna,average,NoFullNameValid,0.834235,0.844641
luna,average,NoPartialNameValid,0.809233,0.835329
luna,average,NoCitation,0.742586,0.816947
luna,average,NoValidator,0.699617,0.791697
