backend,run,validator,rejected_tp,unique_rejected_tp,rejected_fp,kept_tp,kept_fp
luna,run1,full_name,3,1,22,130,17
luna,run1,partial_name,4,3,49,24,21
luna,run1,coref,45,4,87,37,2
luna,run1,all_combined,50,6,147,170,39
luna,run2,full_name,0,0,20,133,19
luna,run2,partial_name,1,0,50,27,20
luna,run2,coref,45,7,100,36,3
luna,run2,all_combined,46,7,159,176,41
luna,run3,full_name,0,0,29,133,10
luna,run3,partial_name,5,4,54,23,16
luna,run3,coref,37,2,77,32,7
luna,run3,all_combined,40,4,153,172,32
luna,average,full_name,1,0.33,23.67,132,15.33
luna,average,partial_name,3.33,2.33,51,24.67,19
luna,average,coref,42.33,4.33,88,35,4
luna,average,all_combined,45.33,5.67,153,172.67,37.33
