backend,run,linker,tps_caught,unique_tps,fps,delta_f1_if_removed
luna,run1,FullName,130,110,17,+0.477938
luna,run1,PartialName,24,23,21,+0.019575
luna,run1,Coref,37,16,2,+0.050590
luna,run1,overlap:only_full_name,110,,,
luna,run1,overlap:only_partial_name,23,,,
luna,run1,overlap:only_coref,16,,,
luna,run1,overlap:shared,21,,,
luna,run2,FullName,133,115,19,+0.487886
luna,run2,PartialName,27,25,20,+0.022799
luna,run2,Coref,36,16,3,+0.053988
luna,run2,overlap:only_full_name,115,,,
luna,run2,overlap:only_partial_name,25,,,
luna,run2,overlap:only_coref,16,,,
luna,run2,overlap:shared,20,,,
luna,run3,FullName,133,120,10,+0.551589
luna,run3,PartialName,23,20,16,+0.017707
luna,run3,Coref,32,16,7,+0.049415
luna,run3,overlap:only_full_name,120,,,
luna,run3,overlap:only_partial_name,20,,,
luna,run3,overlap:only_coref,16,,,
luna,run3,overlap:shared,16,,,
luna,average,FullName,132,115,15.33,+0.505804
luna,average,PartialName,24.67,22.67,19,+0.020027
luna,average,Coref,35,16,4,+0.051331
luna,average,overlap:only_full_name,115,,,
luna,average,overlap:only_partial_name,22.67,,,
luna,average,overlap:only_coref,16,,,
luna,average,overlap:shared,19,,,
