variant,tp,fp,fn,precision,recall,f1
Full,52,2,10,0.962963,0.838710,0.896552
NoEntityValid,53,4,9,0.929825,0.854839,0.890756
NoCitation,52,2,10,0.962963,0.838710,0.896552
NoValidator,53,4,9,0.929825,0.854839,0.890756
