variant,project,tp,fp,fn,f1,f2
Full,teammates,54,12,3,0.878049,0.918367
NoNameValid,teammates,57,83,0,0.578680,0.774457
NoCitation,teammates,56,44,1,0.713376,0.853659
NoValidator,teammates,57,109,0,0.511211,0.723350
