variant,tp,fp,fn,precision,recall,f1
Full,52,5,5,0.912281,0.912281,0.912281
NoEntityValid,52,5,5,0.912281,0.912281,0.912281
NoCitation,52,6,5,0.896552,0.912281,0.904348
NoValidator,52,6,5,0.896552,0.912281,0.904348
