variant,project,tp,fp,fn,f1,f2
Full,bigbluebutton,57,17,5,0.838235,0.885093
NoFullNameValid,bigbluebutton,58,17,4,0.846715,0.897833
NoPartialNameValid,bigbluebutton,61,42,1,0.739394,0.868946
NoCitation,bigbluebutton,60,36,2,0.759494,0.872093
NoValidator,bigbluebutton,62,59,0,0.677596,0.840108
