variant,file_f1,sentence_coverage,worst_component_f1,harmonic_component_f1
Full,0.906,0.842,0.753,0.884
Direct only (entity linker),0.860,0.738,0.694,0.834
No knowledge,0.851,0.767,0.533,0.661
Indirect only (coref linker),0.238,0.145,0.000,0.000
