run,project,tp,fp,fn,f1,f2,canonical
run1,mediastore,31,3,0,0.953846,0.981013,yes
run1,teastore,27,3,0,0.947368,0.978261,yes
run1,teammates,55,37,2,0.738255,0.859375,yes
run1,bigbluebutton,58,14,4,0.865672,0.906250,yes
run1,jabref,18,3,0,0.923077,0.967742,yes
run1,MACRO,,,,0.885644,0.938528,yes
run2,mediastore,31,3,0,0.953846,0.981013,
run2,teastore,26,1,1,0.962963,0.962963,
run2,teammates,57,40,0,0.740260,0.876923,
run2,bigbluebutton,60,7,2,0.930233,0.952381,
run2,jabref,18,2,0,0.947368,0.978261,
run2,MACRO,,,,0.906934,0.950308,
run3,mediastore,31,3,0,0.953846,0.981013,
run3,teastore,27,4,0,0.931034,0.971223,
run3,teammates,57,46,0,0.712500,0.861027,
run3,bigbluebutton,55,5,7,0.901639,0.892857,
run3,jabref,18,3,0,0.923077,0.967742,
run3,MACRO,,,,0.884419,0.934772,
