variant,tp,fp,fn,precision,recall,f1
Full,18,0,0,1.000000,1.000000,1.000000
NoEntityValid,18,2,0,0.900000,1.000000,0.947368
NoCitation,18,2,0,0.900000,1.000000,0.947368
NoValidator,18,3,0,0.857143,1.000000,0.923077
