run,project,tp,fp,fn,f1,f2,canonical
run1,mediastore,28,3,3,0.903226,0.903226,
run1,teastore,27,0,0,1.000000,1.000000,
run1,teammates,49,23,8,0.759690,0.816667,
run1,bigbluebutton,60,11,2,0.902256,0.940439,
run1,jabref,18,1,0,0.972973,0.989011,
run1,MACRO,,,,0.907629,0.929868,
run2,mediastore,28,3,3,0.903226,0.903226,
run2,teastore,27,0,0,1.000000,1.000000,
run2,teammates,53,11,4,0.876033,0.907534,
run2,bigbluebutton,54,11,8,0.850394,0.862620,
run2,jabref,18,1,0,0.972973,0.989011,
run2,MACRO,,,,0.920525,0.932478,
run3,mediastore,28,3,3,0.903226,0.903226,yes
run3,teastore,27,0,0,1.000000,1.000000,yes
run3,teammates,52,17,5,0.825397,0.875421,yes
run3,bigbluebutton,56,12,6,0.861538,0.886076,yes
run3,jabref,18,1,0,0.972973,0.989011,yes
run3,MACRO,,,,0.912627,0.930747,yes
