variant,project,tp,fp,fn,f1,f2
Full,teastore,27,3,0,0.947368,0.978261
NoFullNameValid,teastore,27,7,0,0.885246,0.950704
NoPartialNameValid,teastore,27,3,0,0.947368,0.978261
NoCitation,teastore,27,17,0,0.760563,0.888158
NoValidator,teastore,27,21,0,0.720000,0.865385
