run,project,tp,fp,fn,f1,f2,canonical
run1,mediastore,18,0,13,0.734694,0.633803,
run1,teastore,17,0,10,0.772727,0.680000,
run1,teammates,54,15,3,0.857143,0.909091,
run1,bigbluebutton,44,7,18,0.778761,0.735786,
run1,jabref,18,0,0,1.000000,1.000000,
run1,MACRO,,,,0.828665,0.791736,
run2,mediastore,19,0,12,0.760000,0.664336,yes
run2,teastore,20,0,7,0.851064,0.781250,yes
run2,teammates,55,29,2,0.780142,0.881410,yes
run2,bigbluebutton,45,3,17,0.818182,0.760135,yes
run2,jabref,18,0,0,1.000000,1.000000,yes
run2,MACRO,,,,0.841877,0.817426,yes
run3,mediastore,18,0,13,0.734694,0.633803,
run3,teastore,20,0,7,0.851064,0.781250,
run3,teammates,55,15,2,0.866142,0.922819,
run3,bigbluebutton,45,4,17,0.810811,0.757576,
run3,jabref,18,0,0,1.000000,1.000000,
run3,MACRO,,,,0.852542,0.819089,
