backend,variant,project,dm_link_precision,dm_link_recall,dm_link_f1,dm_link_f2,dc_file_precision,dc_file_recall,dc_file_f1,dc_file_f2,dc_component_micro_f1,dc_component_micro_f2,dc_worst_component_f1,dc_worst_component_f2,dc_harmonic_component_f1,dc_harmonic_component_f2
terra,Full,mediastore,1.000000,1.000000,1.000000,1.000000,1.000000,0.881356,0.936937,0.902778,1.000000,1.000000,0.857143,0.789474,0.981818,0.971223
terra,Full,teastore,1.000000,0.962963,0.981132,0.970149,1.000000,0.957567,0.978324,0.965763,0.981132,0.970149,0.909091,0.862069,0.983607,0.974026
terra,Full,teammates,0.812621,0.935673,0.869403,0.907868,0.877563,0.772961,0.820573,0.791062,0.629528,0.526305,0.715990,0.611746,0.834377,0.798393
terra,Full,bigbluebutton,0.863071,0.978495,0.916714,0.952683,0.784159,0.954001,0.860649,0.914289,0.938382,0.971986,0.648958,0.629052,0.909091,0.927519
terra,Full,jabref,0.982456,1.000000,0.990991,0.996337,0.989742,1.000000,0.994796,0.997900,0.992593,0.996997,0.974359,0.989247,0.995434,0.998158
terra,Full,Average,0.931630,0.975426,0.951648,0.965407,0.930293,0.913177,0.918256,0.914358,0.908327,0.893087,0.821108,0.776318,0.940865,0.933864
terra,FullName,mediastore,1.000000,0.903226,0.949153,0.921053,1.000000,0.779661,0.876190,0.815603,0.943396,0.912409,0.782609,0.692308,0.940493,0.908072
terra,FullName,teastore,1.000000,0.740741,0.851064,0.781250,1.000000,0.708628,0.829470,0.752478,0.851064,0.781250,0.666667,0.555556,0.842105,0.769231
terra,FullName,teammates,0.810582,0.847953,0.828366,0.839887,0.878981,0.740851,0.802560,0.764094,0.578551,0.472004,0.713785,0.609175,0.777799,0.719875
terra,FullName,bigbluebutton,0.924901,0.666667,0.774750,0.706054,0.854791,0.823850,0.838976,0.829821,0.825722,0.765460,0.502924,0.393519,0.803148,0.727211
terra,FullName,jabref,1.000000,1.000000,1.000000,1.000000,0.999516,1.000000,0.999758,0.999903,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
terra,FullName,Average,0.947097,0.831717,0.880667,0.849649,0.946658,0.810598,0.869391,0.832380,0.839746,0.786225,0.733197,0.650112,0.872709,0.824878
terra,PartialName,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,PartialName,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
