system,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_link_f2,doc_to_model_component_miss_rate,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
approach (GPT-5.6-terra),mediastore,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.8814,0.9369,0.9028,1.0000,1.0000,0.8571,0.7895,0.9818,0.9712
approach (GPT-5.6-terra),teastore,1.0000,0.9630,0.9811,0.9701,0.0000,1.0000,0.9576,0.9783,0.9658,0.9811,0.9701,0.9091,0.8621,0.9836,0.9740
approach (GPT-5.6-terra),teammates,0.8126,0.9357,0.8694,0.9079,0.0000,0.8776,0.7730,0.8206,0.7911,0.6295,0.5263,0.7160,0.6117,0.8344,0.7984
approach (GPT-5.6-terra),bigbluebutton,0.8631,0.9785,0.9167,0.9527,0.0000,0.7842,0.9540,0.8606,0.9143,0.9384,0.9720,0.6490,0.6291,0.9091,0.9275
approach (GPT-5.6-terra),jabref,0.9825,1.0000,0.9910,0.9963,0.0000,0.9897,1.0000,0.9948,0.9979,0.9926,0.9970,0.9744,0.9892,0.9954,0.9982
approach (GPT-5.6-terra),Average,0.9316,0.9754,0.9516,0.9654,0.0000,0.9303,0.9132,0.9183,0.9144,0.9083,0.8931,0.8211,0.7763,0.9409,0.9339
approach (GPT-5.6-luna),mediastore,0.9109,0.9892,0.9484,0.9725,0.0000,0.8516,0.8757,0.8635,0.8708,0.9431,0.9696,0.7241,0.7394,0.9538,0.9534
approach (GPT-5.6-luna),teastore,0.9302,0.9877,0.9580,0.9756,0.0000,0.9886,0.9859,0.9872,0.9864,0.9580,0.9756,0.9524,0.9540,0.9858,0.9879
approach (GPT-5.6-luna),teammates,0.5800,0.9591,0.7167,0.8420,0.0000,0.8066,0.8945,0.8457,0.8737,0.6907,0.6449,0.3996,0.5818,0.7053,0.8132
approach (GPT-5.6-luna),bigbluebutton,0.8217,0.9892,0.8977,0.9504,0.0000,0.7432,0.9588,0.8371,0.9060,0.9154,0.9643,0.6191,0.6466,0.8765,0.9198
approach (GPT-5.6-luna),jabref,1.0000,0.9630,0.9810,0.9700,0.0000,0.9995,0.9798,0.9895,0.9837,0.9845,0.9755,0.9394,0.9080,0.9891,0.9827
approach (GPT-5.6-luna),Average,0.8486,0.9776,0.9003,0.9421,0.0000,0.8779,0.9389,0.9046,0.9241,0.8983,0.9060,0.7269,0.7660,0.9021,0.9314
Artemis (GPT-5.6-terra),mediastore,0.9024,0.9677,0.9333,0.9535,0.0000,0.9236,0.9322,0.9274,0.9302,0.9476,0.9575,0.7521,0.8497,0.9564,0.9713
Artemis (GPT-5.6-terra),teastore,0.5725,0.9753,0.7214,0.8549,0.0000,0.5753,0.9821,0.7255,0.8604,0.7214,0.8549,0.4286,0.6522,0.6663,0.8240
Artemis (GPT-5.6-terra),teammates,0.9205,0.6433,0.7554,0.6836,11.6959,0.9260,0.6097,0.7309,0.6524,0.5069,0.3957,0.4057,0.3285,0.4953,0.4375
Artemis (GPT-5.6-terra),bigbluebutton,0.8031,0.6989,0.7474,0.7175,1.0753,0.7020,0.8483,0.7641,0.8112,0.8261,0.8034,0.2222,0.1852,0.4451,0.4457
Artemis (GPT-5.6-terra),jabref,0.8275,0.9630,0.8892,0.9317,3.7037,0.8494,0.9985,0.9158,0.9631,0.8959,0.9385,0.5333,0.6061,0.6103,0.6427
Artemis (GPT-5.6-terra),Average,0.8052,0.8496,0.8093,0.8282,3.2950,0.7953,0.8742,0.8127,0.8435,0.7796,0.7900,0.4684,0.5243,0.6347,0.6642
Artemis (GPT-5.4),mediastore,1.0000,0.8710,0.9310,0.8940,0.0000,1.0000,0.7797,0.8762,0.8156,0.9231,0.8824,0.7273,0.6250,0.9432,0.9122
Artemis (GPT-5.4),teastore,0.9524,0.7407,0.8333,0.7752,0.0000,0.9901,0.7086,0.8261,0.7513,0.8333,0.7752,0.6667,0.5556,0.8304,0.7653
Artemis (GPT-5.4),teammates,0.7692,0.7018,0.7339,0.7143,8.7719,0.8646,0.6686,0.7541,0.7004,0.5419,0.4303,0.6609,0.5637,0.7573,0.6814
Artemis (GPT-5.4),bigbluebutton,0.9268,0.6129,0.7379,0.6574,3.2258,0.8519,0.7371,0.7903,0.7575,0.7941,0.7239,0.0000,0.0000,0.0000,0.0000
Artemis (GPT-5.4),jabref,1.0000,0.8889,0.9412,0.9091,11.1111,0.9995,0.9956,0.9976,0.9964,0.9524,0.9259,0.0000,0.0000,0.0000,0.0000
Artemis (GPT-5.4),Average,0.9297,0.7631,0.8355,0.7900,4.6218,0.9412,0.7779,0.8488,0.8043,0.8090,0.7475,0.4110,0.3489,0.5062,0.4718
TransArC,mediastore,0.9444,0.5484,0.6939,0.5986,35.4839,0.9615,0.4237,0.5882,0.4771,0.7391,0.6538,0.0000,0.0000,0.0000,0.0000
TransArC,teastore,1.0000,0.7407,0.8511,0.7812,0.0000,1.0000,0.7086,0.8295,0.7525,0.8511,0.7812,0.6667,0.5556,0.8421,0.7692
TransArC,teammates,0.6049,0.8596,0.7101,0.7929,0.0000,0.7531,0.9024,0.8211,0.8680,0.7158,0.6501,0.5366,0.6548,0.7570,0.8156
TransArC,bigbluebutton,0.8980,0.7097,0.7928,0.7407,0.0000,0.8203,0.8417,0.8309,0.8373,0.8322,0.8031,0.5714,0.4545,0.8377,0.8029
