system,dm_p,dm_r,dm_f1,dm_f2,dc_p,dc_r,dc_f1,dc_f2
approach,0.9316,0.9754,0.9516,0.9654,0.9303,0.9132,0.9183,0.9144
Artemis,0.8052,0.8496,0.8093,0.8282,0.7953,0.8742,0.8127,0.8435
SWATTR,0.8695,0.7717,0.7990,0.7783,,,,
TransArC,,,,,0.8855,0.7753,0.8026,0.7823
