backend,variant,doc_to_model_macro_f1,doc_to_model_macro_f2,dc_file_precision,dc_file_recall,dc_file_f1,dc_file_f2,dc_worst_component_f1,dc_worst_component_f2,dc_harmonic_component_f1,dc_harmonic_component_f2
terra,Full,0.947324,0.961444,0.915111,0.913700,0.911465,0.912042,0.810092,0.777785,0.935949,0.932906
terra,FullName,0.885838,0.852092,0.935806,0.813998,0.866718,0.833548,0.765725,0.682262,0.877471,0.834089
terra,PartialName,0.074419,0.058824,0.104762,0.028777,0.045151,0.033660,0.000000,0.000000,0.000000,0.000000
terra,Coref,0.291225,0.210044,0.947205,0.177501,0.292477,0.210466,0.000000,0.000000,0.000000,0.000000
terra,No knowledge,0.889973,0.859023,0.953284,0.739156,0.806556,0.760448,0.464410,0.450554,0.546712,0.538493
luna,Full,0.920394,0.949626,0.902426,0.932441,0.915268,0.924966,0.770935,0.795565,0.927777,0.937689
luna,FullName,0.865420,0.846120,0.917740,0.830962,0.869880,0.845671,0.710346,0.665343,0.880624,0.847621
luna,PartialName,0.080015,0.062900,0.139548,0.029197,0.045478,0.034070,0.000000,0.000000,0.000000,0.000000
luna,Coref,0.335303,0.243922,0.949230,0.196957,0.316069,0.231645,0.000000,0.000000,0.000000,0.000000
luna,No knowledge,0.866865,0.858615,0.923785,0.747172,0.799561,0.762954,0.435498,0.450554,0.522254,0.540436
