system,dm_link_f1,dm_link_f2,component_miss_rate,dc_file_f1,dc_file_f2,worst_component_f1,worst_component_f2,harmonic_component_f1,harmonic_component_f2
approach,0.9516,0.9654,0.0000,0.9183,0.9144,0.8211,0.7763,0.9409,0.9339
Artemis,0.8093,0.8282,3.2950,0.8127,0.8435,0.4684,0.5243,0.6347,0.6642
SWATTR,0.7990,0.7783,7.0968,,,,,,
TransArC,,,,0.8026,0.7823,0.5149,0.5148,0.6756,0.6727
