backend,variant,doc_to_model_macro_f1,doc_to_model_macro_f2,dc_file_precision,dc_file_recall,dc_file_f1,dc_file_f2,dc_worst_component_f1,dc_worst_component_f2,dc_harmonic_component_f1,dc_harmonic_component_f2
terra,Full,0.953086,0.962417,0.924723,0.910822,0.915642,0.912222,0.835575,0.770305,0.941433,0.931215
terra,FullName,0.878508,0.847586,0.934760,0.808243,0.863289,0.828715,0.716602,0.633651,0.867208,0.818410
terra,PartialName,0.084945,0.064068,0.315134,0.025796,0.042424,0.030588,0.000000,0.000000,0.000000,0.000000
terra,Coref,0.329897,0.241584,0.985953,0.215245,0.348013,0.253874,0.000000,0.000000,0.000000,0.000000
terra,No knowledge,0.895227,0.863028,0.959018,0.738450,0.807836,0.760656,0.491346,0.461238,0.556012,0.546194
luna,Full,0.891100,0.934362,0.872969,0.939467,0.902282,0.923469,0.693773,0.735405,0.893022,0.930052
luna,FullName,0.852676,0.842079,0.899922,0.843393,0.866982,0.851908,0.696208,0.660496,0.873230,0.851238
luna,PartialName,0.079043,0.062706,0.116519,0.029197,0.045894,0.034165,0.000000,0.000000,0.000000,0.000000
luna,Coref,0.341730,0.261393,0.690132,0.227998,0.340614,0.262642,0.000000,0.000000,0.000000,0.000000
luna,No knowledge,0.854359,0.841552,0.910567,0.730646,0.780331,0.744609,0.397363,0.432372,0.514208,0.530857
