judge,rej_fp,rej_tp,keep_tp,keep_fp,d_f1,d_f2
name,95,5,173.67,21,-9.881100000000009,-4.212400000000005
coref,57.33,2.67,36.33,1.33,-7.782300000000008,-2.829999999999999
all_combined,146,6,189,22.33,-14.944400000000002,-6.514700000000007
