variant,doc_to_model_macro_f1,doc_to_model_macro_f2,dc_file_f1,dc_file_f2,dc_worst_component_f1,dc_worst_component_f2,dc_harmonic_component_f1,dc_harmonic_component_f2,unique_tps
Full,0.951648,0.965407,0.918256,0.914358,0.821108,0.776318,0.940865,0.933864,
FullName,0.880666,0.849649,0.869391,0.832380,0.733197,0.650112,0.872709,0.824878,137
PartialName,0.085383,0.066662,0.046862,0.034902,0.000000,0.000000,0.000000,0.000000,16
Coref,0.311027,0.226103,0.310776,0.226212,0.000000,0.000000,0.000000,0.000000,15
No knowledge,0.890224,0.859876,0.804511,0.759905,0.473389,0.454115,0.549694,0.541767,
