backend,run,linker_set,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_file_f2_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_worst_component_f2_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_harmonic_component_f2_vs_full
terra,run1,Full,0.860073,0.911565,0.881766,0.898427,0.892801,0.885655,0.761530,0.774896,0.913086,0.916898,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run1,NameOnly,0.862231,0.826966,0.836586,0.828918,0.848437,0.818203,0.696329,0.674068,0.868758,0.847333,-0.045180,-0.069508,-0.065201,-0.100828,-0.044328,-0.069566
terra,run1,CorefOnly,0.936748,0.170430,0.277258,0.201240,0.249462,0.175122,0.040134,0.027125,0.083750,0.062762,-0.604508,-0.697187,-0.721396,-0.747771,-0.829336,-0.854136
terra,run2,Full,0.840303,0.911046,0.870584,0.893356,0.884765,0.881208,0.754692,0.771824,0.908648,0.914803,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run2,NameOnly,0.840356,0.826966,0.824926,0.824055,0.841801,0.815505,0.674107,0.664544,0.864064,0.845428,-0.045658,-0.069301,-0.080585,-0.107280,-0.044585,-0.069376
terra,run2,CorefOnly,0.755862,0.125948,0.210705,0.149949,0.224954,0.160034,0.000000,0.000000,0.000000,0.000000,-0.659879,-0.743407,-0.754692,-0.771824,-0.908648,-0.914803
terra,run3,Full,0.866111,0.907749,0.883151,0.896786,0.892689,0.881867,0.776915,0.781348,0.909767,0.908819,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run3,NameOnly,0.861433,0.823668,0.834792,0.826307,0.845335,0.814322,0.696329,0.653866,0.861436,0.836810,-0.048359,-0.070478,-0.080585,-0.127482,-0.048331,-0.072009
terra,run3,CorefOnly,0.982360,0.199838,0.323901,0.235762,0.293521,0.210939,0.000000,0.000000,0.000000,0.000000,-0.559251,-0.661024,-0.776915,-0.781348,-0.909767,-0.908819
luna,run1,Full,0.852601,0.883797,0.866504,0.876422,0.861203,0.856877,0.632727,0.688589,0.858831,0.882068,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run1,NameOnly,0.853749,0.803816,0.821823,0.809631,0.818531,0.792180,0.564718,0.582688,0.814612,0.813680,-0.044681,-0.066790,-0.068009,-0.105902,-0.044220,-0.068388
luna,run1,CorefOnly,0.902202,0.238951,0.364851,0.276710,0.379194,0.290468,0.039011,0.027387,0.075255,0.055661,-0.501653,-0.599712,-0.593716,-0.661203,-0.783577,-0.826407
luna,run2,Full,0.880933,0.893511,0.885939,0.890141,0.880834,0.864936,0.746061,0.735370,0.903604,0.901425,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run2,NameOnly,0.877114,0.817917,0.841712,0.826259,0.837496,0.803355,0.682051,0.654865,0.858049,0.833354,-0.044227,-0.063882,-0.064009,-0.080505,-0.045555,-0.068071
luna,run2,CorefOnly,0.744794,0.199065,0.301692,0.229864,0.337042,0.261527,0.000000,0.000000,0.000000,0.000000,-0.584247,-0.660277,-0.746061,-0.735370,-0.903604,-0.901425
luna,run3,Full,0.834646,0.908586,0.868024,0.891326,0.876489,0.880438,0.664413,0.770069,0.884796,0.910624,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run3,NameOnly,0.836116,0.821894,0.821773,0.820221,0.828779,0.808815,0.597607,0.643220,0.838756,0.837446,-0.046251,-0.071105,-0.066807,-0.126850,-0.046039,-0.073179
luna,run3,CorefOnly,0.693618,0.210070,0.315503,0.242131,0.371258,0.293829,0.093237,0.065609,0.169739,0.132403,-0.552521,-0.649195,-0.571176,-0.704460,-0.715056,-0.778221
luna,average,CorefOnly,0.780205,0.216029,0.327349,0.249568,0.362498,0.281941,0.044083,0.030999,0.081665,0.062688,-0.546140,-0.636395,-0.636984,-0.700344,-0.800746,-0.835351
luna,average,Full,0.856060,0.895298,0.873489,0.885963,0.872842,0.867417,0.681067,0.731343,0.882410,0.898039,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,average,NameOnly,0.855660,0.814542,0.828436,0.818704,0.828269,0.801450,0.614792,0.626924,0.837139,0.828160,-0.045053,-0.067259,-0.066275,-0.104419,-0.045271,-0.069879
terra,average,CorefOnly,0.891657,0.165405,0.270621,0.195650,0.255979,0.182032,0.013378,0.009042,0.027917,0.020921,-0.607879,-0.700539,-0.751001,-0.766981,-0.882584,-0.892586
terra,average,Full,0.855496,0.910120,0.878500,0.896190,0.890085,0.882910,0.764379,0.776023,0.910500,0.913507,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,average,NameOnly,0.854673,0.825867,0.832101,0.826427,0.845191,0.816010,0.688922,0.664159,0.864753,0.843190,-0.046399,-0.069762,-0.075457,-0.111863,-0.045748,-0.070317
