backend,run,linker_set,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
terra,run2,CorefOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run3,Full,mediastore,0.852459,0.881356,0.866667,0.875421,0.949153,0.979021,0.724138,0.739437,0.959391,0.962322
terra,run3,FullNameOnly,mediastore,0.836364,0.779661,0.807018,0.790378,0.892857,0.892857,0.654545,0.647482,0.916549,0.899001
terra,run3,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run3,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.123967,0.193548,0.130435,0.000000,0.000000,0.000000,0.000000
terra,run3,Full,teastore,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
terra,run3,FullNameOnly,teastore,1.000000,0.735502,0.847596,0.776583,0.875000,0.813953,0.666667,0.555556,0.860215,0.793651
terra,run3,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run3,CorefOnly,teastore,1.000000,0.340877,0.508439,0.392636,0.500000,0.384615,0.000000,0.000000,0.000000,0.000000
terra,run3,Full,teammates,0.799627,0.741756,0.769605,0.752650,0.619883,0.525794,0.715990,0.611746,0.788938,0.766256
terra,run3,FullNameOnly,teammates,0.797868,0.711745,0.752350,0.727449,0.578313,0.480962,0.715990,0.611746,0.755496,0.717534
terra,run3,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run3,CorefOnly,teammates,0.955000,0.117945,0.209959,0.143015,0.165289,0.110132,0.000000,0.000000,0.000000,0.000000
terra,run3,Full,bigbluebutton,0.678952,0.915631,0.779727,0.855955,0.894410,0.904523,0.444444,0.555556,0.800508,0.815519
terra,run3,FullNameOnly,bigbluebutton,0.853472,0.803793,0.827888,0.813261,0.802920,0.735294,0.421053,0.312500,0.773331,0.688173
terra,run3,PartialNameOnly,bigbluebutton,0.268608,0.108568,0.154634,0.123255,0.361905,0.277778,0.000000,0.000000,0.000000,0.000000
terra,run3,CorefOnly,bigbluebutton,0.957317,0.205363,0.338180,0.243637,0.301075,0.212121,0.000000,0.000000,0.000000,0.000000
terra,run3,Full,jabref,0.999516,1.000000,0.999758,0.999903,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
terra,run3,FullNameOnly,jabref,0.999516,1.000000,0.999758,0.999903,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
terra,run3,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run3,CorefOnly,jabref,0.999482,0.233309,0.378309,0.275556,0.307692,0.217391,0.000000,0.000000,0.000000,0.000000
luna,run1,Full,mediastore,0.839286,0.796610,0.817391,0.804795,0.912281,0.921986,0.654545,0.647482,0.932374,0.923603
luna,run1,FullNameOnly,mediastore,0.820000,0.694915,0.752294,0.716783,0.851852,0.833333,0.576923,0.551471,0.879479,0.847990
luna,run1,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run1,CorefOnly,mediastore,1.000000,0.186441,0.314286,0.222672,0.444444,0.333333,0.000000,0.000000,0.000000,0.000000
luna,run1,Full,teastore,0.969914,0.957567,0.963701,0.960011,0.945455,0.955882,0.909091,0.862069,0.970350,0.968784
luna,run1,FullNameOnly,teastore,0.996024,0.708628,0.828099,0.752026,0.833333,0.775194,0.666667,0.555556,0.842105,0.769231
luna,run1,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run1,CorefOnly,teastore,0.941176,0.429986,0.590291,0.482387,0.600000,0.495868,0.000000,0.000000,0.000000,0.000000
luna,run1,Full,teammates,0.768211,0.837471,0.801347,0.822637,0.645503,0.584291,0.300000,0.468750,0.655196,0.732926
luna,run1,FullNameOnly,teammates,0.792148,0.812400,0.802146,0.808267,0.662791,0.564356,0.750000,0.735294,0.793409,0.776165
luna,run1,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run1,CorefOnly,teammates,0.945522,0.312955,0.470261,0.361298,0.303030,0.215054,0.195055,0.136933,0.376275,0.278306
luna,run1,Full,bigbluebutton,0.688248,0.827338,0.751411,0.795197,0.825000,0.831234,0.500000,0.555556,0.776237,0.801420
luna,run1,FullNameOnly,bigbluebutton,0.787835,0.711576,0.747766,0.725624,0.716418,0.646900,0.421053,0.312500,0.702884,0.629433
luna,run1,PartialNameOnly,bigbluebutton,0.334129,0.091563,0.143737,0.107116,0.310680,0.235294,0.000000,0.000000,0.000000,0.000000
luna,run1,CorefOnly,bigbluebutton,0.624309,0.147809,0.239027,0.174437,0.461538,0.351906,0.000000,0.000000,0.000000,0.000000
luna,run1,Full,jabref,0.997346,1.000000,0.998671,0.999468,0.977778,0.990991,0.800000,0.909091,0.960000,0.983607
luna,run1,FullNameOnly,jabref,0.997346,1.000000,0.998671,0.999468,0.977778,0.990991,0.800000,0.909091,0.960000,0.983607
luna,run1,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run1,CorefOnly,jabref,1.000000,0.117562,0.210390,0.142756,0.086957,0.056180,0.000000,0.000000,0.000000,0.000000
luna,run2,Full,mediastore,0.839286,0.796610,0.817391,0.804795,0.912281,0.921986,0.654545,0.647482,0.932374,0.923603
luna,run2,FullNameOnly,mediastore,0.820000,0.694915,0.752294,0.716783,0.851852,0.833333,0.576923,0.551471,0.879479,0.847990
luna,run2,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run2,CorefOnly,mediastore,1.000000,0.474576,0.643678,0.530303,0.697674,0.590551,0.000000,0.000000,0.000000,0.000000
luna,run2,Full,teastore,0.997054,0.957567,0.976912,0.965212,0.962963,0.962963,0.909091,0.862069,0.983607,0.974026
luna,run2,FullNameOnly,teastore,0.996169,0.735502,0.846216,0.776119,0.857143,0.807692,0.666667,0.555556,0.860215,0.793651
luna,run2,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run2,CorefOnly,teastore,1.000000,0.263083,0.416573,0.308560,0.457143,0.344828,0.000000,0.000000,0.000000,0.000000
luna,run2,Full,teammates,0.794312,0.803631,0.798944,0.801750,0.625698,0.546875,0.500000,0.611746,0.749028,0.771133
