backend,run,linker_set,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_link_f2
terra,average,full,teastore,1.000000,1.000000,1.000000,1.000000
terra,average,full,teammates,0.805110,0.941520,0.867946,0.910630
terra,average,full,bigbluebutton,0.874339,0.897849,0.885926,0.893039
terra,average,full,jabref,0.949123,1.000000,0.973447,0.989091
luna,run1,full_name_only,mediastore,0.896552,0.838710,0.866667,0.849673
luna,run1,full_name_only,teastore,0.952381,0.740741,0.833333,0.775194
luna,run1,full_name_only,teammates,0.728571,0.894737,0.803150,0.855705
luna,run1,full_name_only,bigbluebutton,0.857143,0.580645,0.692308,0.620690
luna,run1,full_name_only,jabref,0.947368,1.000000,0.972973,0.989011
luna,run1,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
luna,run1,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
luna,run1,partial_name_only,teammates,0.000000,0.000000,0.000000,0.000000
luna,run1,partial_name_only,bigbluebutton,0.631579,0.193548,0.296296,0.224719
luna,run1,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
luna,run1,coref_only,mediastore,1.000000,0.258065,0.410256,0.303030
luna,run1,coref_only,teastore,0.923077,0.444444,0.600000,0.495868
luna,run1,coref_only,teammates,0.857143,0.315789,0.461538,0.361446
luna,run1,coref_only,bigbluebutton,0.941176,0.258065,0.405063,0.301887
luna,run1,coref_only,jabref,1.000000,0.055556,0.105263,0.068493
luna,run1,full,mediastore,0.906250,0.935484,0.920635,0.929487
luna,run1,full,teastore,0.928571,0.962963,0.945455,0.955882
luna,run1,full,teammates,0.620690,0.947368,0.750000,0.857143
luna,run1,full,bigbluebutton,0.793651,0.806452,0.800000,0.803859
luna,run1,full,jabref,0.947368,1.000000,0.972973,0.989011
luna,run2,full_name_only,mediastore,0.896552,0.838710,0.866667,0.849673
luna,run2,full_name_only,teastore,0.954545,0.777778,0.857143,0.807692
luna,run2,full_name_only,teammates,0.786885,0.842105,0.813559,0.830450
luna,run2,full_name_only,bigbluebutton,0.931818,0.661290,0.773585,0.702055
luna,run2,full_name_only,jabref,1.000000,1.000000,1.000000,1.000000
luna,run2,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
luna,run2,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
luna,run2,partial_name_only,teammates,0.000000,0.000000,0.000000,0.000000
luna,run2,partial_name_only,bigbluebutton,0.800000,0.129032,0.222222,0.155039
luna,run2,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
luna,run2,coref_only,mediastore,1.000000,0.483871,0.652174,0.539568
luna,run2,coref_only,teastore,1.000000,0.296296,0.457143,0.344828
luna,run2,coref_only,teammates,0.846154,0.192982,0.314286,0.228216
luna,run2,coref_only,bigbluebutton,1.000000,0.177419,0.301370,0.212355
luna,run2,coref_only,jabref,0.000000,0.000000,0.000000,0.000000
luna,run2,full,mediastore,0.906250,0.935484,0.920635,0.929487
luna,run2,full,teastore,0.962963,0.962963,0.962963,0.962963
luna,run2,full,teammates,0.722222,0.912281,0.806202,0.866667
luna,run2,full,bigbluebutton,0.910714,0.822581,0.864407,0.838816
luna,run2,full,jabref,1.000000,1.000000,1.000000,1.000000
luna,run3,full_name_only,mediastore,0.900000,0.870968,0.885246,0.876623
luna,run3,full_name_only,teastore,0.954545,0.777778,0.857143,0.807692
luna,run3,full_name_only,teammates,0.712121,0.824561,0.764228,0.799320
luna,run3,full_name_only,bigbluebutton,0.905660,0.774194,0.834783,0.797342
luna,run3,full_name_only,jabref,0.900000,1.000000,0.947368,0.978261
luna,run3,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
luna,run3,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
luna,run3,partial_name_only,teammates,0.100000,0.017544,0.029851,0.021008
luna,run3,partial_name_only,bigbluebutton,0.500000,0.048387,0.088235,0.059055
luna,run3,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
luna,run3,coref_only,mediastore,1.000000,0.354839,0.523810,0.407407
luna,run3,coref_only,teastore,0.933333,0.518519,0.666667,0.569106
luna,run3,coref_only,teammates,0.846154,0.192982,0.314286,0.228216
luna,run3,coref_only,bigbluebutton,0.933333,0.225806,0.363636,0.266160
luna,run3,coref_only,jabref,0.000000,0.000000,0.000000,0.000000
luna,run3,full,mediastore,0.909091,0.967742,0.937500,0.955414
luna,run3,full,teastore,0.931034,1.000000,0.964286,0.985401
luna,run3,full,teammates,0.634146,0.912281,0.748201,0.838710
luna,run3,full,bigbluebutton,0.875000,0.903226,0.888889,0.897436
luna,run3,full,jabref,0.900000,1.000000,0.947368,0.978261
luna,average,full_name_only,mediastore,0.897701,0.849462,0.872860,0.858657
luna,average,full_name_only,teastore,0.953824,0.765432,0.849206,0.796859
luna,average,full_name_only,teammates,0.742526,0.853801,0.793646,0.828491
luna,average,full_name_only,bigbluebutton,0.898207,0.672043,0.766892,0.706696
luna,average,full_name_only,jabref,0.949123,1.000000,0.973447,0.989091
luna,average,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
luna,average,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
luna,average,partial_name_only,teammates,0.033333,0.005848,0.009950,0.007003
luna,average,partial_name_only,bigbluebutton,0.643860,0.123656,0.202251,0.146271
luna,average,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
luna,average,coref_only,mediastore,1.000000,0.365591,0.528747,0.416669
luna,average,coref_only,teastore,0.952137,0.419753,0.574603,0.469934
luna,average,coref_only,teammates,0.849817,0.233918,0.363370,0.272626
luna,average,coref_only,bigbluebutton,0.958170,0.220430,0.356690,0.260134
luna,average,coref_only,jabref,0.333333,0.018519,0.035088,0.022831
luna,average,full,mediastore,0.907197,0.946237,0.926257,0.938129
luna,average,full,teastore,0.940856,0.975309,0.957568,0.968082
luna,average,full,teammates,0.659019,0.923977,0.768134,0.854173
luna,average,full,bigbluebutton,0.859788,0.844086,0.851099,0.846703
luna,average,full,jabref,0.949123,1.000000,0.973447,0.989091
